,0
0,3.0
1,8.0
2,8.0
3,0.0
4,6.0
5,6.0
6,1.0
7,6.0
8,3.0
9,1.0
10,0.0
11,9.0
12,5.0
13,7.0
14,9.0
15,8.0
16,5.0
17,7.0
18,8.0
19,6.0
20,7.0
21,0.0
22,4.0
23,9.0
24,5.0
25,2.0
26,4.0
27,0.0
28,9.0
29,6.0
30,6.0
31,5.0
32,4.0
33,5.0
34,9.0
35,2.0
36,4.0
37,1.0
38,9.0
39,5.0
40,4.0
41,6.0
42,5.0
43,6.0
44,0.0
45,9.0
46,3.0
47,9.0
48,7.0
49,6.0
50,9.0
51,8.0
52,0.0
53,3.0
54,8.0
55,8.0
56,7.0
57,7.0
58,4.0
59,6.0
60,7.0
61,3.0
62,6.0
63,3.0
64,6.0
65,2.0
66,1.0
67,2.0
68,3.0
69,7.0
70,2.0
71,6.0
72,8.0
73,8.0
74,0.0
75,2.0
76,9.0
77,3.0
78,3.0
79,8.0
80,8.0
81,1.0
82,1.0
83,7.0
84,2.0
85,5.0
86,2.0
87,7.0
88,8.0
89,9.0
90,0.0
91,3.0
92,8.0
93,6.0
94,4.0
95,6.0
96,6.0
97,0.0
98,0.0
99,7.0
100,4.0
101,5.0
102,6.0
103,3.0
104,1.0
105,1.0
106,3.0
107,6.0
108,8.0
109,7.0
110,4.0
111,0.0
112,6.0
113,2.0
114,1.0
115,3.0
116,0.0
117,4.0
118,2.0
119,7.0
120,8.0
121,3.0
122,1.0
123,2.0
124,8.0
125,0.0
126,8.0
127,3.0
128,5.0
129,2.0
130,4.0
131,1.0
132,8.0
133,9.0
134,1.0
135,2.0
136,9.0
137,7.0
138,2.0
139,9.0
140,6.0
141,5.0
142,6.0
143,3.0
144,8.0
145,7.0
146,6.0
147,2.0
148,5.0
149,2.0
150,8.0
151,9.0
152,6.0
153,0.0
154,0.0
155,5.0
156,2.0
157,9.0
158,5.0
159,4.0
160,2.0
161,1.0
162,6.0
163,6.0
164,8.0
165,4.0
166,8.0
167,4.0
168,5.0
169,0.0
170,9.0
171,9.0
172,9.0
173,8.0
174,9.0
175,9.0
176,3.0
177,7.0
178,5.0
179,0.0
180,0.0
181,5.0
182,2.0
183,2.0
184,3.0
185,8.0
186,6.0
187,3.0
188,4.0
189,0.0
190,5.0
191,8.0
192,0.0
193,1.0
194,7.0
195,2.0
196,8.0
197,8.0
198,7.0
199,8.0
200,5.0
201,1.0
202,8.0
203,7.0
204,1.0
205,3.0
206,0.0
207,5.0
208,7.0
209,9.0
210,7.0
211,4.0
212,5.0
213,9.0
214,8.0
215,0.0
216,7.0
217,9.0
218,8.0
219,2.0
220,7.0
221,6.0
222,9.0
223,4.0
224,3.0
225,9.0
226,6.0
227,4.0
228,7.0
229,6.0
230,5.0
231,1.0
232,5.0
233,8.0
234,8.0
235,0.0
236,4.0
237,0.0
238,5.0
239,5.0
240,1.0
241,1.0
242,8.0
243,9.0
244,0.0
245,3.0
246,1.0
247,9.0
248,2.0
249,2.0
250,5.0
251,3.0
252,9.0
253,9.0
254,4.0
255,0.0
256,3.0
257,0.0
258,0.0
259,9.0
260,8.0
261,1.0
262,5.0
263,7.0
264,0.0
265,8.0
266,2.0
267,4.0
268,7.0
269,0.0
270,2.0
271,3.0
272,6.0
273,3.0
274,8.0
275,5.0
276,0.0
277,3.0
278,4.0
279,3.0
280,9.0
281,0.0
282,6.0
283,1.0
284,0.0
285,9.0
286,1.0
287,0.0
288,7.0
289,9.0
290,1.0
291,2.0
292,6.0
293,9.0
294,3.0
295,4.0
296,6.0
297,0.0
298,0.0
299,6.0
300,6.0
301,6.0
302,3.0
303,2.0
304,6.0
305,1.0
306,8.0
307,2.0
308,1.0
309,6.0
310,8.0
311,6.0
312,8.0
313,0.0
314,4.0
315,0.0
316,7.0
317,7.0
318,5.0
319,5.0
320,3.0
321,5.0
322,2.0
323,3.0
324,4.0
325,1.0
326,7.0
327,5.0
328,4.0
329,6.0
330,1.0
331,9.0
332,3.0
333,6.0
334,6.0
335,9.0
336,3.0
337,8.0
338,0.0
339,7.0
340,2.0
341,6.0
342,2.0
343,5.0
